id,year,state_name,state_code,district_name,district_code,registration_circles,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,rape,attempt_to_commit_rape,kidnapping_and_abduction,dacoity,mkng_preparation_and_assembly_for_comm_dacoity,robbery,criminal_trespass_or_burglary,theft,unlawful_assembly,riots,criminal_breach_of_trust,cheating,forgery,counterfeiting,arson,grievous_hurt,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,causing_death_by_negligence,offences_against_state,offences_promoting_enmity_between_diff_grp,extortion,disclosure_of_identity_of_victims,incidence_of_rash_driving,human_trafficking,unnatural_offence,other_ipc_crimes
57,2016,Assam,18,West Karbi Anglong,710,Hamren,9,1,0,0,8,0,24,5,0,3,14,29,0,0,12,11,12,0,0,72,0,5,0,2,0,5,0,0,20,0,4,1,0,75
58,2016,Assam,18,Jorhat,290,Jorhat,35,14,0,0,32,12,174,1,0,37,135,573,0,8,84,255,7,2,29,288,1,202,0,399,0,70,0,0,78,0,121,1,0,1700
59,2016,Assam,18,Kamrup,291,Kamrup,60,32,0,0,88,0,215,7,0,55,237,450,0,61,78,175,0,3,17,135,7,96,0,292,0,251,0,0,56,0,299,3,0,1972
60,2016,Assam,18,Karbi Anglong,292,Karbi Anglong,23,43,1,0,18,1,99,1,0,10,49,193,5,10,21,49,5,0,2,110,0,20,0,61,0,64,4,0,88,0,37,1,0,131
61,2016,Assam,18,Karimganj,293,Karimganj,30,77,0,0,47,0,124,3,0,8,199,297,32,56,21,101,6,0,33,554,10,77,1,275,0,30,1,1,27,0,109,1,0,703
62,2016,Assam,18,Kokrajhar,294,Kokrajhar,36,61,2,0,41,0,143,9,0,7,59,428,0,17,20,67,0,5,20,150,2,116,0,167,0,96,0,0,55,0,0,0,0,180
63,2016,Assam,18,Lakhimpur,295,Lakhimpur,32,52,15,10,68,0,263,4,0,40,158,302,0,18,67,153,0,0,19,61,4,23,0,343,0,49,2,0,33,0,189,3,0,1700
64,2016,Assam,18,Marigaon,296,Morigaon,23,115,0,0,128,30,189,9,0,32,123,206,0,118,13,188,0,0,25,913,3,205,0,414,0,90,0,0,70,0,110,2,2,181
65,2016,Assam,18,Dima Hasao,299,Dima Hasao,7,8,0,0,3,0,27,3,0,3,7,59,0,1,0,5,0,0,4,6,0,6,0,3,0,7,0,0,17,0,0,0,0,82
66,2016,Assam,18,Nagaon,297,Nagaon,72,59,0,0,97,27,393,8,0,60,249,694,59,81,111,252,33,1,36,301,16,189,0,832,0,196,0,0,39,0,301,6,2,3207
